EBT Packet Time	tracking	tracking time(s)	T[0,0]	T[0,1]	T[0,2]	T[0,3]	T[1,0]	T[1,1]	T[1,2]	T[1,3]	T[2,0]	T[2,1]	T[2,2]	T[2,3]	T[3,0]	T[3,1]	T[3,2]	T[3,3]	Frame Time(ms)	KUKA Data Time	x	y	z	a	b	c
1464723509.269874	1	1.58057	0.998780	0.047102	0.014802	-0.529532	-0.048416	0.993106	0.106750	0.186468	-0.009672	-0.107337	0.994176	2.153465	0.000000	0.000000	0.000000	1.000000	45	1464723509.263865	-708.929800	11.777300	0.037000	-0.009900	-0.019900	0.010200	
1464723509.307011	1	1.61762	0.998781	0.046997	0.015078	-0.529700	-0.048352	0.993003	0.107732	0.186506	-0.009909	-0.108330	0.994066	2.153659	0.000000	0.000000	0.000000	1.000000	37	1464723509.299860	-708.929800	11.777300	0.037000	-0.009900	-0.019900	0.010200	
1464723509.343877	1	1.65451	0.998820	0.046502	0.014008	-0.528865	-0.047703	0.993509	0.103269	0.187233	-0.009114	-0.103815	0.994555	2.153449	0.000000	0.000000	0.000000	1.000000	36	1464723509.335815	-708.929800	11.777300	0.037000	-0.009900	-0.019900	0.010200	
1464723509.380281	1	1.69093	0.998788	0.046560	0.015945	-0.528894	-0.047943	0.993672	0.101579	0.186926	-0.011115	-0.102220	0.994700	2.152366	0.000000	0.000000	0.000000	1.000000	36	1464723509.371840	-708.929800	11.777300	0.037000	-0.009900	-0.019900	0.010200	
1464723509.421134	1	1.73174	0.998814	0.046154	0.015529	-0.529598	-0.047479	0.993867	0.099869	0.187058	-0.010824	-0.100488	0.994879	2.152776	0.000000	0.000000	0.000000	1.000000	41	1464723509.419850	-708.929800	11.777300	0.037000	-0.009900	-0.019900	0.010200	
1464723509.459499	1	1.77017	0.998789	0.046295	0.016641	-0.529526	-0.047718	0.993963	0.098794	0.186934	-0.011966	-0.099469	0.994969	2.152750	0.000000	0.000000	0.000000	1.000000	38	1464723509.455862	-708.929800	11.777300	0.037000	-0.009900	-0.019900	0.010200	
1464723509.496721	1	1.80740	0.998791	0.046883	0.014773	-0.529411	-0.048157	0.993532	0.102833	0.186600	-0.009856	-0.103420	0.994589	2.153574	0.000000	0.000000	0.000000	1.000000	37	1464723509.491766	-708.929800	11.777300	0.037000	-0.009900	-0.019900	0.010200	
1464723509.533079	1	1.84373	0.998770	0.047264	0.014966	-0.529520	-0.048566	0.993409	0.103831	0.186383	-0.009959	-0.104430	0.994482	2.153276	0.000000	0.000000	0.000000	1.000000	36	1464723509.527859	-708.930300	11.778600	0.038500	-0.010000	-0.019900	0.010100	
1464723509.575986	1	1.88663	0.998716	0.048362	0.015064	-0.529797	-0.049695	0.993074	0.106461	0.185908	-0.009811	-0.107073	0.994203	2.153805	0.000000	0.000000	0.000000	1.000000	42	1464723509.575912	-708.930300	11.778600	0.038500	-0.010000	-0.019900	0.010100	
1464723509.618647	1	1.92929	0.998713	0.048249	0.015648	-0.529421	-0.049655	0.992973	0.107418	0.186399	-0.010355	-0.108057	0.994091	2.153102	0.000000	0.000000	0.000000	1.000000	43	1464723509.611875	-708.930300	11.778600	0.038500	-0.010000	-0.019900	0.010100	
1464723509.654958	1	1.96560	0.998713	0.048238	0.015689	-0.528986	-0.049650	0.992954	0.107595	0.185719	-0.010388	-0.108236	0.994071	2.152306	0.000000	0.000000	0.000000	1.000000	36	1464723509.647894	-708.930300	11.778600	0.038500	-0.010000	-0.019900	0.010100	
1464723509.690444	1	2.00106	0.998789	0.047436	0.013023	-0.528647	-0.048551	0.993193	0.105880	0.186513	-0.007912	-0.106384	0.994294	2.152940	0.000000	0.000000	0.000000	1.000000	35	1464723509.683828	-708.930300	11.778600	0.038500	-0.010000	-0.019900	0.010100	
1464723509.727491	1	2.03812	0.998750	0.048024	0.013850	-0.529601	-0.049240	0.992955	0.107778	0.186581	-0.008577	-0.108326	0.994078	2.154216	0.000000	0.000000	0.000000	1.000000	36	1464723509.719813	-708.930300	11.778600	0.038500	-0.010000	-0.019900	0.010100	
